transaction_id,date,year,month,quarter,region,city,category,sales_rep,quantity,unit_price,discount_pct,revenue,cost
TXN005557,2022-01-01,2022,1,Q1,North,Hartford,Sports,Rep_026,8,41.38,0,331.04,169.33
TXN005670,2022-01-01,2022,1,Q1,South,Dallas,Books,Rep_049,3,21.85,5,62.27,29.91
TXN007583,2022-01-01,2022,1,Q1,East,Detroit,Electronics,Rep_035,1,1212.24,10,1091.02,695.16
TXN008878,2022-01-01,2022,1,Q1,South,Atlanta,Books,Rep_019,1,64.92,15,55.18,35.78
TXN009131,2022-01-01,2022,1,Q1,South,Atlanta,Electronics,Rep_004,10,1230.03,0,12300.3,6727.94
TXN011039,2022-01-01,2022,1,Q1,North,Hartford,Toys,Rep_037,8,117.47,0,939.76,559.63
TXN011399,2022-01-01,2022,1,Q1,North,Albany,Books,Rep_011,7,55.93,5,371.93,182.02
TXN011621,2022-01-01,2022,1,Q1,South,Dallas,Automotive,Rep_048,9,465.37,20,3350.66,1568.76
TXN012432,2022-01-01,2022,1,Q1,North,Boston,Furniture,Rep_047,4,638.19,0,2552.76,1621.86
TXN012607,2022-01-01,2022,1,Q1,North,Hartford,Clothing,Rep_004,2,95.7,15,162.69,99.07
TXN000674,2022-01-02,2022,1,Q1,North,Hartford,Electronics,Rep_008,9,1774.57,0,15971.13,10625.78
TXN000704,2022-01-02,2022,1,Q1,South,Houston,Clothing,Rep_010,1,175.18,0,175.18,109.49
TXN001475,2022-01-02,2022,1,Q1,East,Detroit,Automotive,Rep_018,5,972.5,10,4376.25,2508.25
TXN002354,2022-01-02,2022,1,Q1,South,Dallas,Clothing,Rep_037,1,206.12,0,206.12,140.58
TXN003876,2022-01-02,2022,1,Q1,East,Columbus,Electronics,Rep_034,9,797.61,20,5742.79,3786.92
TXN006645,2022-01-02,2022,1,Q1,South,Dallas,Electronics,Rep_008,2,1278.14,0,2556.28,1678.05
TXN009969,2022-01-02,2022,1,Q1,South,Miami,Electronics,Rep_024,10,1096.1,5,10412.95,5031.35
TXN010080,2022-01-02,2022,1,Q1,East,Chicago,Home & Kitchen,Rep_041,5,430.45,5,2044.64,968.36
TXN010838,2022-01-02,2022,1,Q1,East,Detroit,Furniture,Rep_035,10,610.74,20,4885.92,2826.5
TXN012402,2022-01-02,2022,1,Q1,Central,Louisville,Automotive,Rep_005,8,321.38,0,2571.04,1722.59
TXN012736,2022-01-02,2022,1,Q1,South,Miami,Automotive,Rep_050,2,1188.88,0,2377.76,1464.87
TXN013498,2022-01-02,2022,1,Q1,Central,Kansas City,Sports,Rep_027,8,281.37,0,2250.96,1524.55
TXN014777,2022-01-02,2022,1,Q1,South,Miami,Clothing,Rep_020,8,222.54,20,1424.26,821.18
TXN000352,2022-01-03,2022,1,Q1,West,Los Angeles,Home & Kitchen,Rep_020,7,436.2,15,2595.39,1235.37
TXN000738,2022-01-03,2022,1,Q1,East,Cleveland,Automotive,Rep_022,2,516.86,15,878.66,512.02
TXN001853,2022-01-03,2022,1,Q1,East,Columbus,Home & Kitchen,Rep_047,8,115.78,0,926.24,487.74
TXN002211,2022-01-03,2022,1,Q1,North,Albany,Clothing,Rep_040,1,59.28,0,59.28,31.04
TXN003526,2022-01-03,2022,1,Q1,North,New York,Sports,Rep_033,1,294.2,10,264.78,128.41
TXN003636,2022-01-03,2022,1,Q1,South,Atlanta,Automotive,Rep_026,9,1003.17,15,7674.25,4385.64
TXN006175,2022-01-03,2022,1,Q1,East,Columbus,Electronics,Rep_037,3,504.82,5,1438.74,957.41
TXN007306,2022-01-03,2022,1,Q1,East,Columbus,Furniture,Rep_035,9,1737.02,0,15633.18,8305.53
TXN010998,2022-01-03,2022,1,Q1,West,San Francisco,Clothing,Rep_042,10,109.74,5,1042.53,516.18
TXN012243,2022-01-03,2022,1,Q1,West,San Francisco,Furniture,Rep_042,10,2515.23,0,25152.3,13803.87
TXN013027,2022-01-03,2022,1,Q1,Central,Nashville,Toys,Rep_023,3,62.48,0,187.44,92.18
TXN013384,2022-01-03,2022,1,Q1,East,Detroit,Automotive,Rep_007,4,1166.19,20,3731.81,2593.75
TXN014076,2022-01-03,2022,1,Q1,West,Seattle,Books,Rep_026,6,62.13,0,372.78,216.17
TXN002365,2022-01-04,2022,1,Q1,North,Hartford,Sports,Rep_027,6,246.48,0,1478.88,976.97
TXN003211,2022-01-04,2022,1,Q1,Central,St. Louis,Sports,Rep_024,5,282.26,10,1270.17,618.39
TXN003321,2022-01-04,2022,1,Q1,Central,Nashville,Automotive,Rep_017,5,64.98,0,324.9,178.73
TXN003459,2022-01-04,2022,1,Q1,North,Albany,Clothing,Rep_019,9,43.72,15,334.46,187.92
TXN004699,2022-01-04,2022,1,Q1,North,Hartford,Electronics,Rep_033,5,1403.92,0,7019.6,4377.83
TXN006896,2022-01-04,2022,1,Q1,West,San Francisco,Automotive,Rep_048,8,132.26,20,846.46,515.32
TXN009422,2022-01-04,2022,1,Q1,South,Atlanta,Automotive,Rep_004,1,811.97,0,811.97,460.28
TXN010336,2022-01-04,2022,1,Q1,South,Atlanta,Toys,Rep_004,7,182.88,0,1280.16,892.19
TXN012118,2022-01-04,2022,1,Q1,North,New York,Electronics,Rep_044,10,1223.54,15,10400.09,6080.74
TXN012120,2022-01-04,2022,1,Q1,East,Chicago,Furniture,Rep_004,4,2520.43,0,10081.72,5197.25
TXN012644,2022-01-04,2022,1,Q1,North,New York,Toys,Rep_045,4,133.22,20,426.3,294.4
TXN000937,2022-01-05,2022,1,Q1,North,Hartford,Automotive,Rep_004,7,832.49,15,4953.32,3286.35
TXN004614,2022-01-05,2022,1,Q1,East,Cleveland,Books,Rep_018,1,12.02,15,10.22,4.69
TXN006787,2022-01-05,2022,1,Q1,North,Hartford,Sports,Rep_048,8,220.26,5,1673.98,1031.25
TXN007265,2022-01-05,2022,1,Q1,West,Denver,Home & Kitchen,Rep_023,2,219.86,5,417.73,244.98
TXN011689,2022-01-05,2022,1,Q1,West,Phoenix,Books,Rep_017,10,23.85,0,238.5,136.79
TXN015112,2022-01-05,2022,1,Q1,West,Phoenix,Automotive,Rep_002,2,49.47,0,98.94,51.65
TXN002016,2022-01-06,2022,1,Q1,West,Phoenix,Automotive,Rep_005,3,746.31,5,2126.98,1043.33
TXN002193,2022-01-06,2022,1,Q1,Central,Memphis,Electronics,Rep_049,7,1129.47,5,7510.98,4972.39
TXN002973,2022-01-06,2022,1,Q1,South,Charlotte,Books,Rep_010,8,42.97,10,309.38,156.77
TXN003128,2022-01-06,2022,1,Q1,West,San Francisco,Clothing,Rep_036,2,72.94,15,124.0,61.04
TXN005326,2022-01-06,2022,1,Q1,North,Boston,Books,Rep_047,4,58.13,10,209.27,144.23
TXN008752,2022-01-06,2022,1,Q1,West,Seattle,Sports,Rep_005,2,166.74,0,333.48,179.51
TXN009231,2022-01-06,2022,1,Q1,South,Atlanta,Toys,Rep_005,6,66.46,0,398.76,266.94
TXN009542,2022-01-06,2022,1,Q1,West,Seattle,Furniture,Rep_005,4,297.59,0,1190.36,645.66
TXN010852,2022-01-06,2022,1,Q1,East,Columbus,Electronics,Rep_022,4,181.8,10,654.48,390.12
TXN011334,2022-01-06,2022,1,Q1,East,Chicago,Toys,Rep_002,5,83.29,20,333.16,200.22
TXN014176,2022-01-06,2022,1,Q1,South,Houston,Furniture,Rep_008,8,326.02,0,2608.16,1478.52
TXN000706,2022-01-07,2022,1,Q1,East,Indianapolis,Sports,Rep_050,7,406.69,20,2277.46,1299.33
TXN001736,2022-01-07,2022,1,Q1,South,Charlotte,Toys,Rep_032,2,50.49,0,100.98,56.92
TXN003667,2022-01-07,2022,1,Q1,West,San Francisco,Toys,Rep_012,6,205.02,5,1168.61,729.03
TXN003970,2022-01-07,2022,1,Q1,Central,Nashville,Books,Rep_042,4,10.25,10,36.9,22.08
TXN005329,2022-01-07,2022,1,Q1,West,Phoenix,Automotive,Rep_033,8,1087.61,15,7395.75,3710.78
